company_id,company_name,cash_flow_date,fiscal_year,period_label,period,version,revenue,net_sales,net_sales_local,net_sales_at_entry,net_sales_at_entry_local,adj_ebitda,ltm_adj_ebitda,ebitda,ltm_ebitda_actual,ltm_ebitda_actual_local,ltm_ebitda_at_entry,ltm_ebitda_at_entry_local,ltm_credit_agreement_ebitda,ltm_free_cash_flow,ltm_capex,ltm_cash_interest,ltm_cash_taxes,ltm_change_nwc,ltm_principal_payments,cash,net_debt,net_debt_local,net_debt_at_entry,net_debt_at_entry_local,net_debt_credit_agreement,total_gross_debt,floating_rate_debt,fixed_rate_debt,pik_debt,senior_secured_debt,other_debt,net_leverage,net_leverage_at_entry,gross_leverage,total_net_leverage,senior_secured_leverage,interest_coverage,debt_service_coverage,tev,tev_local,tev_at_entry,tev_at_entry_local,tev_to_ebitda,tev_to_ebitda_at_entry,tev_to_revenue,tev_to_revenue_at_entry,gross_irr,gross_moi,total_cost,unrealized_value,realized_proceeds,total_value,fund_current_ownership,fund_ownership_at_entry,tsg_current_ownership,tsg_ownership_at_entry,adj_ebitda_margin_pct,ebitda_margin_pct,gross_margin_pct,gross_profit,ltm_revenue
be228c9c-7f0a-416b-a963-7c7e132cfd11,Hempz,2022-12-31,2022,2022,Annual,Actual,,,,51.164131,,,,15.948704,15.948704,,,,,,,,,,,,-5.107652,,20.0,,,,,,,,,,,,,,,,190.381075,,,,11.937087,13.122412,,,,2.382874,,120.8719,5.5117,126.3836,0.673,0.63809,,,,,,,
be228c9c-7f0a-416b-a963-7c7e132cfd11,Hempz,2023-12-31,2023,2023,Annual,Actual,,,,51.164131,,,,21.552838,21.552838,,,,,,0.0,0.2892,7.62,-14.618831,,,9.326054,,20.0,,,12.566439,12.566439,,0.0,,0.0,,,0.583053,0.432707,0.0,,74.525719,264.0,,,,12.248967,13.122412,,,,3.389536,,156.1,25.482,181.582,0.673,0.63809,,,,,,,
be228c9c-7f0a-416b-a963-7c7e132cfd11,Hempz,2024-12-31,2024,2024,Annual,Actual,,,,51.164131,,,,28.127393,28.127393,,,,,,0.0,2.113945,9.5,0.523805,,,67.982359,,20.0,,,75.0,75.0,,0.0,,0.0,,,2.712711,2.458886,0.0,,8.392618,272.482251,,,,9.687433,13.122412,,,,3.8,,124.2,77.0,201.0,0.621326,0.621326,,,,,,,
be228c9c-7f0a-416b-a963-7c7e132cfd11,Hempz,2025-12-31,2025,2025,Annual,Actual,,,,51.164131,,,,21.866623,21.866623,,,,,,0.0,7.111646,9.185653,-3.141372,,,65.659321,,20.0,,,67.0,67.0,,0.0,,0.0,,,3.156673,2.960929,0.0,,2.619025,245.587039,,,,11.231137,13.122412,,,,3.5,,107.5,79.0,187.0,0.621326,0.621326,,,,,,,
c3fd13d4-edf9-44a7-9a3d-3b1c36d9bc8e,Legacy,2023-12-31,2023,2023,Annual,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3fd13d4-edf9-44a7-9a3d-3b1c36d9bc8e,Legacy,2024-12-31,2024,2024,Annual,Actual,,,,98.994373,,,,27.345231,27.345231,,,,,,4.040893,8.901804,1.107584,7.354875,,,89.4032,,87.735429,,,99.5,99.5,,0.0,,0.0,,,3.63866,3.269426,3.63866,,2.478709,491.031549,,,,17.956753,17.921815,,,,1.0,,215.0,0.0,215.0,0.557486,0.557486,,,,,,,
c3fd13d4-edf9-44a7-9a3d-3b1c36d9bc8e,Legacy,2025-12-31,2025,2025,Annual,Actual,,,,98.994373,,,,35.51398,35.51398,,,,,,6.881186,10.083211,2.6,1.127517,,,149.853169,,87.735429,,,158.75,158.75,,0.0,,0.0,,,4.470071,4.267995,4.470071,,2.548941,636.474974,,,,17.921815,17.921815,,,,1.3,,271.0,0.0,271.0,0.55988,0.557486,,,,,,,
41a173ae-cc52-4a23-9ac4-47c688fc1af8,Mavis,2021-12-31,2021,2021,Annual,Actual,,,,1600.0,,,,409.539882,409.539882,,,,,,,,,,,,3154.256267,,3117.724348,,,,,,,,,,,,,,,,6405.904577,,,,15.641711,15.641711,,,,1.134322,,510.66937,0.0,510.66937,0.158661,0.158661,,,,,,,
41a173ae-cc52-4a23-9ac4-47c688fc1af8,Mavis,2022-12-31,2022,2022,Annual,Actual,,,,1600.0,,,,457.752809,457.752809,,,,,,,,,,,,3512.074269,,3117.724348,,,,,,,,,,,,,,,,7212.067667,,,,15.755376,15.641711,,,,1.278685,,576.135558,0.0,576.135558,0.158661,0.158661,,,,,,,
41a173ae-cc52-4a23-9ac4-47c688fc1af8,Mavis,2023-12-31,2023,2023,Annual,Actual,,,,1600.0,,,,556.59992,556.59992,,,,,,255.082,252.87,72.124,-48.459,,,3835.702813,,3117.724348,,,3190.6,2470.6,,0.0,,0.0,,,5.732304,5.648802,4.438736,,0.622183,8479.777515,,,,15.23496,15.641711,,,,1.439292,,648.5,0.0,648.5,0.142905,0.158661,,,,,,,
41a173ae-cc52-4a23-9ac4-47c688fc1af8,Mavis,2024-12-31,2024,2024,Annual,Actual,,,,1600.0,,,,605.9,605.9,,,,,,478.63,260.049,98.4,68.875,,,3492.3,,2617.724348,,,3537.8,2756.2,,0.0,,61.6,,,5.838917,5.76383,4.548935,,0.167901,9479.0,,,,15.644496,15.641711,,,,1.7,,758.0,0.0,757.9,0.14305,0.158661,,,,,,,
41a173ae-cc52-4a23-9ac4-47c688fc1af8,Mavis,2025-12-31,2025,2025,Annual,Actual,,,,1600.0,,,,737.757992,737.757992,,,,,,407.961,246.187,76.377,-44.613,,,4407.357008,,2617.724348,,,4471.737265,3682.8,,0.0,,68.937265,,,6.061252,5.972631,4.991881,,0.715491,12173.006865,,,,16.5,15.641711,,,,2.2,,971.0,0.0,971.0,0.143,0.158661,,,,,,,
c329fe81-d777-4863-a5ae-a5e069f7b91f,Powerstop,2018-12-31,2018,2018,Annual,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c329fe81-d777-4863-a5ae-a5e069f7b91f,Powerstop,2019-12-31,2019,2019,Annual,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c329fe81-d777-4863-a5ae-a5e069f7b91f,Powerstop,2020-12-31,2020,2020,Annual,Actual,,,,150.497024,,,,58.323094,58.323094,,,,,,,,,,,,209.462033,,210.038,,,,,,,,,,,,,,,,677.667464,,,,11.619196,12.5793,,,,1.680828,,230.890185,17.877139,248.767324,,,,,,,,,
c329fe81-d777-4863-a5ae-a5e069f7b91f,Powerstop,2021-12-31,2021,2021,Annual,Actual,,,,167.138,,,,67.327327,67.327327,,,,,,,,,,,,212.770543,,210.038,,,,,,,,,,,,,,,,841.591586,,,,12.5,11.61926,,,,2.271806,,308.203782,28.030098,336.23388,0.491809,0.491809,,,,,,,
c329fe81-d777-4863-a5ae-a5e069f7b91f,Powerstop,2022-12-31,2022,2022,Annual,Actual,,,,167.138,,,,37.736,37.736,,,,,,,,,,,,410.4092,,210.038,,,,,,,,,,,,,,,,695.818,,,,18.439103,11.61926,,,,1.694564,,139.72977,111.1597,250.88947,0.491809,0.491809,,,,,,,
c329fe81-d777-4863-a5ae-a5e069f7b91f,Powerstop,2023-12-31,2023,2023,Annual,Actual,,,,167.138,,,,62.907792,62.907792,,,,,,1.851013,39.659419,16.17118,-28.593585,,,367.475774,,210.038,,,383.270163,383.270163,,0.0,,0.182663,,,5.071365,4.862376,5.071365,,1.377258,730.937969,,,,11.619196,11.61926,,,,1.986735,,177.6,116.547,294.147,0.491809,0.491809,,,,,,,
c329fe81-d777-4863-a5ae-a5e069f7b91f,Powerstop,2024-12-31,2024,2024,Annual,Actual,,,,167.138,,,,70.102,70.102,,,,,,2.051,39.59,19.996,-4.304,,,363.394,,210.038,,,379.138,379.138,,0.0,,0.0,,,5.408376,5.171907,5.408376,,1.582692,776.6,,,,11.078143,11.61926,,,,2.2,,201.0,127.0,328.0,0.491809,0.491809,,,,,,,
c329fe81-d777-4863-a5ae-a5e069f7b91f,Powerstop,2025-12-31,2025,2025,Annual,Actual,,,,167.138,,,,67.500552,67.500552,,,,,,1.796257,35.966911,9.056967,-4.357382,,,360.370965,,210.038,,,376.687617,376.687617,,0.0,,0.35305,,,5.580512,5.323971,5.575281,,1.66873,674.330516,,,,9.99,11.61926,,,,1.9,,153.0,129.0,282.0,0.491809,0.491809,,,,,,,
a8498cce-61d8-4417-8778-76b4df2680a7,Radiance Holdings,2020-12-31,2020,2020,Annual,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a8498cce-61d8-4417-8778-76b4df2680a7,Radiance Holdings,2021-12-31,2021,2021,Annual,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a8498cce-61d8-4417-8778-76b4df2680a7,Radiance Holdings,2022-12-31,2022,2022,Annual,Actual,,,,68.371546,,,,27.502254,27.502254,,,,,,,,,,,,165.0,,165.0,,,,,,,,,,,,,,,,425.0,,,,15.453279,15.453279,,,,1.0,,238.60022,0.0,238.60022,0.904724,0.904724,,,,,,,
a8498cce-61d8-4417-8778-76b4df2680a7,Radiance Holdings,2023-12-31,2023,2023,Annual,Actual,,,,68.371546,,,,28.537759,28.537759,,,,,,1.03,20.455528,0.230438,-1.313383,,,172.000859,,165.0,,,178.0,178.0,,0.0,,0.0,,,6.312057,6.099321,6.312057,,1.218505,438.775288,,,,15.375254,15.453279,,,,1.0,,239.164,0.0,239.164,0.904724,0.904724,,,,,,,
